DAY_OF_MONTH,DEP_DEL15,ARR_DEL15,total_flight
1,0,0,16835
1,0,1,759
1,1,0,795
1,1,1,3004
2,0,0,16953
2,0,1,658
2,1,0,663
2,1,1,2818
3,0,0,15617
3,0,1,594
3,1,0,550
3,1,1,2176
4,0,0,14562
4,0,1,971
4,1,0,511
4,1,1,2042
5,0,0,15909
5,0,1,1043
5,1,0,606
5,1,1,3337
6,0,0,15554
6,0,1,1128
6,1,0,664
6,1,1,4394
7,0,0,16668
7,0,1,520
7,1,0,771
7,1,1,2269
8,0,0,18660
8,0,1,749
8,1,0,867
8,1,1,2684
9,0,0,18392
9,0,1,818
9,1,0,816
9,1,1,3496
10,0,0,18223
10,0,1,820
10,1,0,830
10,1,1,3312
11,0,0,18808
11,0,1,892
11,1,0,880
11,1,1,2865
12,0,0,17639
12,0,1,1160
12,1,0,735
12,1,1,3711
13,0,0,19102
13,0,1,879
13,1,0,841
13,1,1,2895
14,0,0,16257
14,0,1,706
14,1,0,754
14,1,1,2421
15,0,0,15212
15,0,1,1094
15,1,0,1012
15,1,1,4976
16,0,0,15953
16,0,1,1254
16,1,0,847
16,1,1,5279
17,0,0,15644
17,0,1,844
17,1,0,768
17,1,1,4624
18,0,0,18197
18,0,1,760
18,1,0,1040
18,1,1,3387
19,0,0,17182
19,0,1,1138
19,1,0,892
19,1,1,4440
20,0,0,15186
20,0,1,1345
20,1,0,909
20,1,1,6081
21,0,0,14214
21,0,1,928
21,1,0,903
21,1,1,4017
22,0,0,15024
22,0,1,1354
22,1,0,681
22,1,1,5168
23,0,0,13870
23,0,1,1136
23,1,0,888
23,1,1,6491
24,0,0,14325
24,0,1,1210
24,1,0,1041
24,1,1,5811
25,0,0,15444
25,0,1,1190
25,1,0,848
25,1,1,5391
26,0,0,17350
26,0,1,1052
26,1,0,973
26,1,1,4175
27,0,0,15997
27,0,1,1045
27,1,0,831
27,1,1,4519
28,0,0,15064
28,0,1,698
28,1,0,922
28,1,1,3314
29,0,0,15990
29,0,1,1056
29,1,0,1009
29,1,1,4841
30,0,0,16742
30,0,1,1243
30,1,0,950
30,1,1,4570
31,0,0,16049
31,0,1,1267
31,1,0,851
31,1,1,4859
