AIR_TIME,ARR,ARR_Pr,ARR_delay_time,ARR_delay_times,DEP,DEP_Pr,DEP_delay_time,DEP_delay_times,DISTANCE,total_flight
99.01204819,ATL,0.13253012,163.4545455,11,ABE,0.072289157,251.5,6,692,83
88.45977011,CLT,0.195402299,76.76470588,17,ABE,0.195402299,87.41176471,17,481,87
74.04225352,DTW,0.154929577,90.63636364,11,ABE,0.169014085,94.5,12,425,71
125,FLL,0.7,71.14285714,7,ABE,0.7,69.85714286,7,1041,10
75.23529412,MYR,0.058823529,72,1,ABE,0,0,0,518,17
97.14516129,ORD,0.258064516,93.0625,16,ABE,0.306451613,80.57894737,19,655,62
136.1538462,PGD,0.692307692,84.55555556,9,ABE,0.692307692,68.88888889,9,1018,13
16.43636364,PHL,0.181818182,51.6,20,ABE,0.145454545,62.25,16,55,110
122.3529412,PIE,0.529411765,93.44444444,9,ABE,0.588235294,88.9,10,970,17
119.2564103,SFB,0.256410256,77.9,10,ABE,0.230769231,87.33333333,9,882,39
34.35057471,DFW,0.212643678,87.40540541,37,ABI,0.24137931,83.38095238,42,158,174
158.8172043,ATL,0.11827957,73.72727273,11,ABQ,0.096774194,77.77777778,9,1269,93
83.2,AUS,0.488888889,76.22727273,22,ABQ,0.422222222,81.57894737,19,619,45
200.8484848,BWI,0.348484848,50.47826087,23,ABQ,0.242424242,63.875,16,1670,66
82.85314685,DAL,0.20979021,78.76666667,30,ABQ,0.216783217,79.83870968,31,580,143
56.69019608,DEN,0.223529412,82.80701754,57,ABQ,0.192156863,93.63265306,49,349,255
78.81779661,DFW,0.224576271,73.86792453,53,ABQ,0.216101695,79.03921569,51,569,236
103.954023,HOU,0.206896552,47.77777778,18,ABQ,0.195402299,58.35294118,17,759,87
104.7204301,IAH,0.150537634,85.85714286,14,ABQ,0.11827957,98.54545455,11,744,93
215.8064516,JFK,0.483870968,45.33333333,15,ABQ,0.387096774,45.66666667,12,1826,31
69.76744186,LAS,0.178294574,59.26086957,23,ABQ,0.217054264,59.17857143,28,486,129
91.49802372,LAX,0.162055336,53.92682927,41,ABQ,0.158102767,59.375,40,677,253
93.19354839,MCI,0.161290323,31,5,ABQ,0.258064516,34.625,8,718,31
193.3181818,MCO,0.181818182,32.5,4,ABQ,0.090909091,46,2,1553,22
142.4084507,MDW,0.197183099,57.42857143,14,ABQ,0.253521127,48,18,1121,71
123.1,MSP,0.033333333,15,1,ABQ,0.033333333,32,1,981,30
115.8780488,OAK,0.097560976,73.5,8,ABQ,0.146341463,68.58333333,12,889,82
138.8728814,ORD,0.13559322,57.4375,16,ABQ,0.118644068,55.42857143,14,1118,118
150.9482759,PDX,0.103448276,70.33333333,6,ABQ,0.120689655,71.28571429,7,1111,58
52.95705521,PHX,0.174846626,62.45614035,57,ABQ,0.208588957,61.95588235,68,328,326
85.59139785,SAN,0.129032258,45.41666667,12,ABQ,0.150537634,48.42857143,14,628,93
161.3064516,SEA,0.161290323,51.3,10,ABQ,0.14516129,44.22222222,9,1180,62
126.5913043,SFO,0.243478261,58.5,28,ABQ,0.226086957,72.34615385,26,896,115
116.8,SJC,0.2,116,1,ABQ,0.2,104,1,870,5
74.13793103,SLC,0.172413793,68.73333333,15,ABQ,0.183908046,63.25,16,493,87
92.18421053,SNA,0.105263158,67,4,ABQ,0.105263158,71.75,4,650,38
46.90163934,MSP,0.147540984,56.44444444,9,ABR,0.147540984,60.22222222,9,257,61
36.20224719,ATL,0.202247191,144.6666667,18,ABY,0.157303371,169.2142857,14,145,89
23.2,BOS,0.218181818,102.25,12,ACK,0.2,110.8181818,11,91,55
82.75,CLT,0,0,0,ACK,0,0,0,723,4
70.4,DCA,0.214285714,60.33333333,15,ACK,0.142857143,82.7,10,405,70
42.98913043,EWR,0.25,89.39130435,23,ACK,0.22826087,92.52380952,21,218,92
37.78512397,JFK,0.363636364,129.6363636,44,ACK,0.404958678,121.6122449,49,199,121
45.44680851,LGA,0.276595745,251.9230769,13,ACK,0.276595745,256.9230769,13,202,47
25.07534247,DFW,0.198630137,62,29,ACT,0.184931507,67.44444444,27,89,146
88.41935484,LAX,0.35483871,86.90909091,11,ACV,0.290322581,98,9,577,31
45.72268908,SFO,0.142857143,68,17,ACV,0.12605042,72.73333333,15,250,119
101.1935484,ATL,0.258064516,75,8,ACY,0.096774194,126.3333333,3,679,31
135.0806452,FLL,0.161290323,99.7,10,ACY,0.112903226,118.8571429,7,977,62
111.7704918,MCO,0.344262295,95.80952381,21,ACY,0.278688525,100.8823529,17,852,61
146.5882353,MSY,0.117647059,227,2,ACY,0.117647059,229,2,1103,17
66.51612903,MYR,0.032258065,30,1,ACY,0,0,0,466,31
123.9677419,RSW,0.322580645,182.2,10,ACY,0.387096774,164.75,12,982,31
121.6451613,TPA,0.032258065,262,1,ACY,0.032258065,266,1,913,31
145.375,ANC,0.375,52,3,ADK,0.375,48.66666667,3,1192,8
39.25862069,ANC,0.137931034,43.25,8,ADQ,0.137931034,57.375,8,253,58
77.71052632,ATL,0.166666667,62.36842105,19,AEX,0.149122807,65,17,500,114
48.48314607,DFW,0.134831461,96.66666667,12,AEX,0.146067416,93.92307692,13,285,89
40.37349398,IAH,0.120481928,64.3,10,AEX,0.060240964,92.6,5,190,83
32.7918552,ATL,0.190045249,85.42857143,42,AGS,0.149321267,103.8181818,33,143,221
30.82967033,CLT,0.247252747,79.8,45,AGS,0.28021978,79.19607843,51,140,182
43.77419355,ANC,0.35483871,32.27272727,11,AKN,0.322580645,32.5,10,288,31
125.6626506,ATL,0.120481928,77.6,10,ALB,0.180722892,45.93333333,15,853,83
51.69491525,BWI,0.15819209,54.35714286,28,ALB,0.169491525,53.1,30,289,177
101.1609195,CLT,0.264367816,66.43478261,23,ALB,0.264367816,61.91304348,23,646,87
59.1637931,DCA,0.163793103,116.9473684,19,ALB,0.181034483,119.1904762,21,318,116
210.2903226,DEN,0.290322581,60.11111111,9,ALB,0.419354839,54.30769231,13,1610,31
75.02803738,DTW,0.056074766,100.8333333,6,ALB,0.102803738,72,11,489,107
32.27152318,EWR,0.198675497,81.03333333,30,ALB,0.185430464,82.10714286,28,143,151
161.4193548,FLL,0.177419355,106.5454545,11,ALB,0.209677419,95.76923077,13,1204,62
63.05194805,IAD,0.155844156,108.6666667,12,ALB,0.181818182,102.4285714,14,325,77
146.6515152,MCO,0.257575758,51.29411765,17,ALB,0.181818182,63.33333333,12,1073,66
104.6935484,MDW,0.258064516,62.875,16,ALB,0.290322581,55.83333333,18,717,62
133.6153846,MSP,0.038461538,65,1,ALB,0.076923077,48.5,2,980,26
104.6054054,ORD,0.156756757,115.2758621,29,ALB,0.194594595,105.1111111,36,723,185
44.98787879,PHL,0.187878788,82.09677419,31,ALB,0.163636364,93.33333333,27,212,165
153.8064516,TPA,0.258064516,82.125,8,ALB,0.322580645,67.5,10,1130,31
42.76785714,ORD,0.232142857,68.07692308,13,ALO,0.232142857,60.46153846,13,234,56
46.9125,SEA,0.125,54.4,10,ALW,0.075,68.33333333,6,213,80
51.34482759,DAL,0.181034483,82.0952381,21,AMA,0.181034483,84,21,323,116
55.57377049,DEN,0.114754098,115.5714286,7,AMA,0.114754098,116,7,359,61
46.5,DFW,0.16509434,84.05714286,35,AMA,0.174528302,83.02702703,37,312,212
82.01190476,IAH,0.166666667,145.9285714,14,AMA,0.166666667,140.0714286,14,517,84
103.8709677,LAS,0.193548387,37.83333333,6,AMA,0.290322581,36.55555556,9,758,31
86.41935484,PHX,0.032258065,43,1,AMA,0,0,0,602,31
169.25,ADK,0,0,0,ANC,0,0,0,1192,8
41.72413793,ADQ,0.120689655,45.85714286,7,ANC,0.155172414,35.22222222,9,253,58
48.16129032,AKN,0.032258065,73,1,ANC,0.032258065,65,1,288,31
365.9677419,ATL,0.225806452,200.7142857,7,ANC,0.290322581,169.7777778,9,3417,31
56.65714286,BET,0.057142857,38,4,ANC,0.057142857,44,4,399,70
32.35483871,CDV,0.161290323,45.8,5,ANC,0.129032258,38.25,4,160,31
273.5555556,DEN,0.19047619,69.58333333,12,ANC,0.253968254,65.625,16,2405,63
348.4193548,DFW,0.483870968,119.3333333,15,ANC,0.548387097,114.4705882,17,3043,31
52.83870968,DLG,0.064516129,33.5,2,ANC,0.064516129,24,2,329,31
124.2253521,DUT,0.38028169,42.37037037,27,ANC,0.197183099,44.42857143,14,792,71
389,EWR,0,0,0,ANC,0.25,34,1,3370,4
41.21717172,FAI,0.075757576,51.4,15,ANC,0.070707071,54,14,261,198
344.7741935,HNL,0.064516129,59.5,2,ANC,0.064516129,59,2,2777,31
372.0645161,IAH,0.129032258,75,4,ANC,0.225806452,60.85714286,7,3266,31
79.16666667,JNU,0.058333333,79.42857143,7,ANC,0.075,67.33333333,9,571,120
282.952381,LAX,0.05952381,58.6,5,ANC,0.05952381,56.8,5,2345,84
290.1397849,MSP,0.086021505,36.5,8,ANC,0.096774194,44.66666667,9,2519,93
74.05555556,OME,0.027777778,119,1,ANC,0.055555556,61.5,2,539,36
335.2727273,ORD,0.154545455,127.4117647,17,ANC,0.190909091,113.4285714,21,2846,110
74.67857143,OTZ,0,0,0,ANC,0,0,0,548,56
191.4551724,PDX,0.089655172,53.61538462,13,ANC,0.082758621,66.91666667,12,1542,145
304.8064516,PHX,0.161290323,43.2,5,ANC,0.193548387,53.5,6,2552,31
83.27419355,SCC,0.080645161,42,5,ANC,0.096774194,47.66666667,6,626,62
178.4609844,SEA,0.032412965,44.7037037,27,ANC,0.045618247,45.07894737,38,1448,833
247.5483871,SFO,0.193548387,47,6,ANC,0.290322581,43.11111111,9,2018,31
244,SLC,0,0,0,ANC,0,0,0,2125,24
42.23333333,DTW,0.266666667,64.5,8,APN,0.166666667,79.6,5,198,30
